compound_id	target_id	pchembl_value
CHEMBL1000	Q02763	4.05
CHEMBL100076	P12931	5.4
CHEMBL100172	P12931	8.01
CHEMBL100174	P35968	6.82
CHEMBL100305	P09619	4.96
CHEMBL100309	P49841	5.7
CHEMBL100312	P49841	5.64
CHEMBL100391	P11802	7.0
CHEMBL100446	P06239	4.19
CHEMBL100542	P09619	5.84
CHEMBL100546	Q05655	7.1
CHEMBL100551	P12931	8.64
CHEMBL100651	P12931	7.9449999999999985
CHEMBL100664	P11802	4.72
CHEMBL100675	P11802	5.7
CHEMBL100703	Q05655	6.54
CHEMBL100714	P49759	5.82
CHEMBL100735	P09619	6.21
CHEMBL100736	P09619	7.4
CHEMBL100775	P35968	5.89
CHEMBL100811	P11802	5.4
CHEMBL100818	P49137	5.97
CHEMBL100825	P12931	8.52
CHEMBL1009	P06239	5.43
CHEMBL100945	P11802	6.1
CHEMBL100979	P11802	5.1
CHEMBL101019	P11802	6.0
CHEMBL101035	P45984	5.325
CHEMBL101035	Q16539	5.64
CHEMBL101052	P11802	5.7
CHEMBL101081	P12931	7.96
CHEMBL101119	P11802	7.3
CHEMBL101156	P11802	6.52
CHEMBL101221	P35968	7.8
CHEMBL101253	O14578	5.06
CHEMBL101253	P07333	7.55
CHEMBL101253	P07949	5.12
CHEMBL101253	P09619	7.24
CHEMBL101253	P10721	6.82
CHEMBL101253	P16234	7.02
CHEMBL101253	P17948	7.035
CHEMBL101253	P35916	6.71
CHEMBL101253	P35968	7.205
CHEMBL101253	P42685	5.75
CHEMBL101253	P49336	5.35
CHEMBL101253	Q08345	6.57
CHEMBL101253	Q56UN5	5.72
CHEMBL101253	Q9BWU1	5.82
CHEMBL101253	Q9NYL2	5.36
CHEMBL101311	P11802	6.1
CHEMBL101325	P35968	5.08
CHEMBL101457	P12931	5.4
CHEMBL101464	P35968	7.85
CHEMBL101468	P11802	6.16
CHEMBL101473	P11802	6.1
CHEMBL101544	P35968	7.44
CHEMBL101557	P11802	5.22
CHEMBL101558	P11802	5.05
CHEMBL1016	P04626	5.23
CHEMBL101659	P06239	4.8
CHEMBL101679	P11802	6.0
CHEMBL101683	P10721	6.62
CHEMBL101683	P12931	5.16
CHEMBL101683	P17948	6.75
CHEMBL101683	P35968	7.76
CHEMBL101747	P49840	7.75
CHEMBL101779	P11802	4.24
CHEMBL101795	P12931	4.4
CHEMBL101797	P35968	6.41
CHEMBL101797	P43405	7.85
CHEMBL101804	P49840	6.85
CHEMBL101804	P49841	6.85
CHEMBL101868	P11802	4.64
CHEMBL101887	P11802	6.7
CHEMBL101892	P25098	4.17
CHEMBL101892	Q15835	6.75
CHEMBL101917	P12931	7.47
CHEMBL101924	P35968	6.86
CHEMBL101965	P06239	5.42
CHEMBL102000	P12931	8.48
CHEMBL102008	P11802	6.0
CHEMBL102047	P11802	5.7
CHEMBL102136	P11802	4.6
CHEMBL102165	P12931	7.85
CHEMBL102183	P12931	6.16
CHEMBL102217	P12931	6.12
CHEMBL102301	P09619	7.05
CHEMBL102301	P10721	6.205
CHEMBL102301	P16234	4.6
CHEMBL102301	P35968	4.76
CHEMBL102301	P36888	4.83
CHEMBL102330	P09619	5.98
CHEMBL102346	P09619	6.994999999999999
CHEMBL102346	P10721	7.3
CHEMBL102346	P16234	7.3
CHEMBL102346	P36888	6.64
CHEMBL102362	P06239	7.22
CHEMBL102383	P09619	5.91
CHEMBL102427	P09619	5.64
CHEMBL102554	P09619	6.82
CHEMBL102595	P12931	7.85
CHEMBL102686	P09619	6.96
CHEMBL102714	P49840	7.47
CHEMBL102714	P49841	7.47
CHEMBL102727	P12931	8.33
CHEMBL102765	P12931	4.28
CHEMBL102766	P12931	4.27
CHEMBL102801	P12931	6.7
CHEMBL102858	P24723	6.615
CHEMBL102858	Q02156	6.2
CHEMBL102858	Q04759	7.21
CHEMBL102858	Q05655	6.02
